   232.3112       224.7952    
   231.8468       224.3879    
   14.10034       69.82194       93.79455       38.44365       20.00925    
   46.51049       93.63776       78.73441       96.08910       96.51608    
   54.00482       22.76823       83.04956       66.62126       94.42694    
   36.55620       55.69983       54.54484       31.22157       65.00655    
   9.553591       91.11205       44.29962       63.26371       17.60143    
   13.62149       64.93707       57.13528       3.768834       57.64348    
   72.72749       52.79569       45.60143       19.07889       83.33646    
   82.90744       81.19604       20.27641       73.20070       47.81623    
   91.27403       54.40149       49.09977       18.20899       40.70060    
   63.62213       87.27089       1.962470       54.21668       66.77650    
   77.69007       83.87983       76.24706       69.00410       64.07899    
   44.97108       88.66808       15.43695       86.61649       47.42126    
   8.835793       72.99310       1.114589       27.15729       71.23756    
   57.75865       71.47398       57.80915       33.34964       22.48513    
   65.62231       26.93219       57.52024       55.59482       12.64635    
   71.55304       20.56546       46.55895       47.69260       42.36566    
   53.12930       23.63887       12.58648       64.04604       74.36556    
   42.34249       46.31882       73.57155       97.09079       2.301328    
   70.50539       5.493253       7.303838       53.04165       10.37431    
   52.41454       61.73634       45.95198       34.48206       92.16024    
   39.38624       20.67197       64.63960       85.00703       81.38061    
   89.02686       34.82291       55.48634       25.40636       76.39379    
   12.88882       49.47647       31.97185       40.20012       73.80499    
   29.52579       34.44516       48.56590       81.18637       20.69883    
   47.79265       88.68822       41.56469       79.91110       53.07958    
   61.58336       48.89919       28.92281       26.27776       85.62202    
   19.04992       37.95931       23.43088       26.23132       80.72858    
   54.86835       44.54789       57.30038       60.07330       85.77874    
   54.31673       44.82206       96.65352       98.80649       4.061296    
   29.66797       62.20368       71.12695       58.12035       11.57243    
   1.535087       8.591664       3.186440       81.77516       38.89764    
   6.481521       83.87595       44.26972       75.93581       59.62415    
   66.51025       40.98118       99.82342       57.77686       56.85971    
   2.835831       39.55783       98.40405       61.74913       44.78237    
   12.64463       66.03735       27.59042       43.07325       89.44236    
   80.27852       70.72908       87.68110       31.23653       5.024861    
   89.59101       19.89309       54.32446       11.29345       19.40546    
   45.47383       72.29098       63.72157       24.09466       67.02939    
   39.87521       10.56897       99.51588       53.33216       31.76674    
   62.95711       75.48618       17.91392       19.87342       7.336186    
   91.76927       60.77881       19.51915      0.2719380       54.59408    
   28.00273       97.97005       39.00668       19.61337       79.41492    
   19.59315       65.29526       91.90691       96.33524       3.068014    
   64.56758       96.34052       14.59424       34.64035       62.35855    
   87.99464       90.08507       96.50365       75.63432       99.70748    
   8.746955       19.45270       35.56479       74.69108       94.19118    
   33.69937       27.69184       27.15560       68.70893       35.15763    
   72.66765       55.60339       78.50439       29.21748       33.66739    
   82.11192       74.92584       50.33416       82.64595       20.60732    
   22.85445       23.57458       56.60235       46.25162       23.82700    
   72.79401       29.53232       78.49417       24.87362       43.97919    
   15.44635       29.41233       38.48532       86.52582       1.983321    
   88.19897       24.17245       81.30077       45.49012       30.50822    
   27.03352       6.246239       25.09826       25.72165       64.11934    
   62.96501       85.78239       30.02425       61.41055       30.41270    
   1.196446       90.59708       30.06804       94.31832       94.02689    
   49.33659       68.79633       99.95679       37.31247       82.85519    
   3.260847       7.239610       23.11323       80.83287       68.23400    
   1.422373       77.57418       84.48494       18.56087       44.90737    
   55.68438       50.08469       3.696735       60.86760       6.547394    
   50.99598       94.71580       68.58279       93.43567       97.49670    
   49.43319       87.97724       68.90794       99.29503       8.559273    
   2.845413       15.84894       77.19199       7.545765       90.45766    
